"season_id","player_id","position","season_coverage_grade","snap_count"
"2019","49339","CB","69.3",42
"2019","49350","CB","77.2",57
"2019","51172","S","69.3",24
"2019","49352","CB","61.2",19
"2019","51206","S","26.3",22
"2019","49354","CB","60",1
"2019","51220","S","61.6",5
"2019","49355","CB","41.5",27
"2019","51241","S","67.7",6
"2019","51266","S","82.1",64
"2019","49368","CB","46.6",6
"2019","51282","S","60.7",2
"2019","51304","S","60.2",12
"2019","49371","S","60.2",2
"2019","51334","S","49.8",40
"2019","51336","S","62.8",15
"2019","51378","S","62.9",23
"2019","49377","CB","67.2",44
"2019","51391","S","60",1
"2019","51596","CB","58.7",35
"2019","2969","CB","61.1",91
"2019","83833","CB","44.1",2
"2019","3653","S","74.8",58
"2019","3152","S","44.4",71
"2019","4330","CB","41.5",33
"2019","4334","CB","66.3",85
"2019","4454","CB","79",64
"2019","4937","S","63.7",86
"2019","3558","CB","71.7",73
"2019","5532","CB","51",85
"2019","4957","S","84.4",54
"2019","5127","CB","78.4",89
"2019","5539","S","77.9",81
"2019","5545","S","75.1",55
"2019","5552","S","80.4",92
"2019","5596","S","53.1",53
"2019","5686","S","67.9",8
"2019","5820","S","52.3",33
"2019","5667","CB","61.5",2
"2019","6289","CB","55.8",63
"2019","5903","CB","59.9",91
"2019","6013","S","61.9",10
"2019","6118","S","57.2",51
"2019","6179","CB","64.7",5
"2019","6171","CB","60.8",94
"2019","6306","CB","65.5",81
"2019","7043","CB","51",74
"2019","6457","CB","65.1",57
"2019","7064","CB","78.1",63
"2019","7067","CB","54.4",49
"2019","7016","CB","76.9",86
"2019","7023","CB","52.1",50
"2019","7051","S","64.9",12
"2019","7814","S","70.7",2
"2019","7641","S","79.3",94
"2019","7649","CB","48.6",76
"2019","7654","CB","61.1",2
"2019","7271","S","64",88
"2019","7279","S","55.5",16
"2019","7288","S","43.1",86
"2019","7793","CB","60",57
"2019","7796","S","61.2",84
"2019","7799","S","44.8",72
"2019","7803","CB","79.7",65
"2019","7806","CB","56.6",88
"2019","7817","CB","61.4",103
"2019","7896","CB","43.1",38
"2019","7850","S","60",76
"2019","7851","CB","66.6",5
"2019","7864","CB","77.2",81
"2019","7865","S","56.2",49
"2019","7872","S","54.5",67
"2019","7835","CB","58.6",16
"2019","7838","S","41.3",93
"2019","7941","S","67.3",95
"2019","8220","S","68.2",96
"2019","8000","S","78.2",89
"2019","8102","S","74",7
"2019","8110","CB","50",41
"2019","8334","CB","58.9",103
"2019","8361","S","62.6",75
"2019","8396","S","67.7",86
"2019","8656","S","68",86
"2019","8649","CB","58",95
"2019","8483","CB","58",66
"2019","8666","CB","71.5",91
"2019","8676","CB","30",84
"2019","8744","CB","37.3",10
"2019","8714","S","61.3",39
"2019","8736","S","56.4",23
"2019","8749","CB","28.4",40
"2019","8737","CB","68.9",83
"2019","8782","S","57.9",67
"2019","8817","S","64.3",13
"2019","8760","S","29.2",7
"2019","8762","CB","69.4",61
"2019","8853","CB","64.5",38
"2019","8763","S","68.1",74
"2019","9040","CB","47.8",87
"2019","8888","CB","58.1",14
"2019","9177","S","57.1",53
"2019","9253","S","56.3",19
"2019","9332","CB","59.6",49
"2019","9466","S","63.3",76
"2019","9451","CB","70.4",87
"2019","9444","CB","52.1",88
"2019","9449","CB","65.5",22
"2019","9479","S","59.9",77
"2019","9460","CB","69.7",64
"2019","9463","S","58.4",31
"2019","9480","CB","29.7",62
"2019","9483","CB","40",71
"2019","9575","S","66.7",91
"2019","9542","S","50.5",67
"2019","9511","CB","61.8",60
"2019","9531","CB","83.4",85
"2019","9578","S","61.2",58
"2019","9680","CB","59.4",89
"2019","9633","S","58.6",103
"2019","9682","S","62.4",3
"2019","9698","S","42.6",51
"2019","10073","CB","57.4",37
"2019","9895","S","89",95
